epoch,train,valid,test,train_loss
149.0,1.0,0.9868,0.983,7.40046640702209e-06
150.0,1.0,0.9864,0.9833,6.160313288051718e-06
151.0,1.0,0.9864,0.9842,3.5575979736876474e-06
152.0,1.0,0.9866,0.9839,2.1574989860928022e-06
153.0,1.0,0.9866,0.984,2.0557713488143105e-06
154.0,1.0,0.9848,0.9824,0.00025177128975586375
155.0,1.0,0.9826,0.9818,9.16220261996995e-05
156.0,0.999890909090909,0.983,0.9802,7.222654153811723e-05
157.0,1.0,0.9834,0.9822,3.917194390050542e-05
158.0,1.0,0.9842,0.9835,4.552422221687954e-05
159.0,1.0,0.9846,0.9834,9.16597072695024e-06
160.0,1.0,0.9856,0.9823,1.4272642668144083e-05
161.0,1.0,0.9862,0.9833,4.044382845809523e-06
162.0,1.0,0.9864,0.9834,2.17200808579356e-06
163.0,1.0,0.9856,0.9833,1.3287763768092768e-06
164.0,0.9999090909090909,0.9854,0.9813,0.0006504886904356991
165.0,1.0,0.9856,0.9828,5.988851082920587e-05
166.0,1.0,0.9868,0.983,7.683133605167171e-06
167.0,1.0,0.9866,0.9832,9.106382006939328e-06
168.0,1.0,0.9862,0.983,6.003117242679421e-06
169.0,1.0,0.9862,0.9828,3.4842102113352704e-06
170.0,1.0,0.986,0.9832,3.674374843827963e-06
171.0,1.0,0.986,0.9833,1.8447872988766795e-06
172.0,1.0,0.9856,0.9837,1.2140982325032963e-06
173.0,1.0,0.9866,0.9835,1.5247773801793845e-06
174.0,1.0,0.9858,0.9832,1.3166333982381658e-06
175.0,1.0,0.9854,0.9828,6.701985891193403e-07
176.0,1.0,0.986,0.9821,0.0004864757384149486
177.0,1.0,0.9844,0.9815,0.0002849950276544204
178.0,1.0,0.9846,0.9813,0.00010289323310085866
179.0,1.0,0.9854,0.9819,9.671577502647368e-06
180.0,1.0,0.9854,0.9821,1.3270200619298673e-05
181.0,1.0,0.9862,0.9825,3.6378890488337807e-06
182.0,1.0,0.9862,0.9825,9.217987940340641e-06
183.0,1.0,0.9864,0.9824,1.5237886529388645e-05
184.0,1.0,0.986,0.9823,1.7708126513354057e-06
185.0,1.0,0.9864,0.983,1.557902639045771e-06
186.0,1.0,0.9862,0.9831,1.516172010242856e-06
187.0,1.0,0.9864,0.9826,1.1232108873341129e-06
188.0,1.0,0.9862,0.9828,7.037044777796892e-07
189.0,1.0,0.9864,0.9832,4.711414393961918e-07
190.0,1.0,0.9866,0.9835,7.762992588844756e-07
191.0,1.0,0.9856,0.982,1.4251870525385636e-06
192.0,1.0,0.986,0.9832,7.792952382659821e-07
193.0,1.0,0.9862,0.9832,3.9185538128012157e-07
194.0,1.0,0.9862,0.9833,3.767653796963078e-07
195.0,1.0,0.9858,0.9832,2.6446988037940737e-05
196.0,1.0,0.9856,0.983,1.1290048852541884e-06
197.0,1.0,0.9858,0.9818,7.114716569927997e-07
198.0,1.0,0.9856,0.9825,3.3372088076377444e-07
199.0,1.0,0.9848,0.9825,7.90861749935489e-07
200.0,1.0,0.9854,0.9819,7.77717384805945e-05
201.0,1.0,0.9858,0.9829,1.8874412528817942e-05
202.0,1.0,0.9854,0.9836,7.732643419411636e-06
203.0,1.0,0.9862,0.9831,2.1754950589519687e-06
204.0,1.0,0.9864,0.9836,6.548742151851879e-07
205.0,1.0,0.9866,0.9832,7.564549309320208e-07
206.0,1.0,0.9864,0.9829,1.1949276820405862e-06
207.0,1.0,0.9864,0.9826,3.2603619443205296e-07
208.0,1.0,0.9862,0.9831,2.2591006282595345e-07
209.0,1.0,0.9862,0.9829,1.5865047146439126e-07
210.0,1.0,0.9856,0.983,1.0965611463440335e-07
211.0,1.0,0.9868,0.9828,9.705934102014763e-08
212.0,1.0,0.9864,0.9833,7.973527829740775e-08
213.0,1.0,0.9868,0.9831,2.0991875343067974e-07
214.0,1.0,0.986,0.9835,6.18515567490542e-08
215.0,1.0,0.9864,0.9833,4.131016578967123e-08
216.0,1.0,0.9864,0.983,4.2320360835244194e-08
217.0,1.0,0.986,0.9834,7.887476184809633e-08
218.0,1.0,0.9864,0.9834,2.5056948354051663e-08
219.0,1.0,0.986,0.9833,6.028093923807016e-08
220.0,1.0,0.9862,0.9836,3.683715492719139e-08
221.0,1.0,0.9862,0.984,2.2006416205202856e-08
222.0,1.0,0.9864,0.9836,2.112646072243358e-08
223.0,1.0,0.987,0.9837,4.4250847927649485e-08
224.0,1.0,0.9866,0.9844,2.145662181573049e-08
225.0,1.0,0.9862,0.9844,4.374628986229521e-08
226.0,1.0,0.9848,0.983,2.5900903578270235e-06
227.0,1.0,0.9856,0.9839,4.691752920928524e-06
228.0,1.0,0.9856,0.9835,2.6516561390934716e-07
229.0,1.0,0.9852,0.9842,5.541499076846121e-08
230.0,1.0,0.985,0.9844,6.866729507562314e-08
231.0,1.0,0.985,0.9841,6.526030128181842e-08
232.0,1.0,0.9854,0.9835,2.990667282619213e-08
233.0,1.0,0.9852,0.9837,4.046059588157849e-08
234.0,1.0,0.9854,0.9835,2.3159893936492e-08
235.0,1.0,0.985,0.984,3.8715067610816705e-08
236.0,1.0,0.986,0.9842,3.499503013365933e-08
237.0,1.0,0.9864,0.9839,8.488755772326153e-07
238.0,1.0,0.9866,0.9831,7.636934432774839e-08
239.0,1.0,0.9862,0.9835,1.619157347049334e-08
240.0,1.0,0.9864,0.9833,7.223344989822885e-08
241.0,1.0,0.9866,0.9834,1.52584643921164e-08
242.0,1.0,0.9862,0.983,1.1981345754290242e-08
243.0,1.0,0.987,0.9828,1.2412188077994153e-08
244.0,1.0,0.9864,0.9832,9.018515186839099e-09
245.0,1.0,0.9868,0.9833,6.244107882555813e-09
246.0,1.0,0.987,0.9834,8.858243428700155e-09
247.0,1.0,0.9868,0.9834,7.147167272226416e-09
248.0,1.0,0.986,0.9832,7.52180994789428e-09
249.0,1.0,0.9856,0.9833,2.6835029051588254e-09
250.0,1.0,0.9852,0.984,4.2861312213858107e-07
251.0,1.0,0.986,0.9846,9.886871497302267e-07
252.0,1.0,0.9856,0.9845,5.253837826127234e-07
253.0,1.0,0.9862,0.9844,5.304309501270122e-07
254.0,1.0,0.9858,0.9845,3.147299828712747e-08
255.0,1.0,0.9862,0.9846,7.759847005814271e-08
256.0,1.0,0.986,0.9845,1.3453897735288396e-08
257.0,1.0,0.9862,0.9843,1.277836487166142e-08
258.0,1.0,0.9858,0.9851,1.584233556303707e-08
259.0,1.0,0.986,0.9846,3.0751166698569084e-08
260.0,1.0,0.9862,0.9848,1.0556955205756936e-08
261.0,1.0,0.9854,0.9845,8.225638677688204e-09
262.0,1.0,0.9852,0.9842,5.42256716260669e-09
263.0,1.0,0.9862,0.9843,1.4419775912985683e-08
264.0,1.0,0.986,0.9849,7.300985968507878e-09
265.0,1.0,0.986,0.9844,4.155532943590294e-09
266.0,1.0,0.9862,0.9846,5.605147703602837e-09
267.0,1.0,0.9866,0.9843,1.3555003867798566e-08
268.0,1.0,0.9856,0.9839,1.7604137251167024e-08
269.0,1.0,0.986,0.9839,3.608308836864257e-09
270.0,1.0,0.9858,0.9839,3.7679948141736724e-08
271.0,1.0,0.9864,0.9836,1.967147300982141e-08
272.0,1.0,0.9862,0.984,6.74859874804684e-09
273.0,1.0,0.9854,0.9842,2.6206830585473977e-09
274.0,1.0,0.9862,0.9844,2.0510656216079605e-09
275.0,1.0,0.9856,0.9838,2.354280412738526e-09
276.0,1.0,0.9862,0.985,5.799864426322642e-09
277.0,1.0,0.987,0.9845,5.570406655838163e-09
278.0,1.0,0.9866,0.9842,2.1788547789000826e-09
279.0,1.0,0.9866,0.9842,1.788996457821924e-09
280.0,1.0,0.9856,0.9845,2.9043470725308776e-09
281.0,1.0,0.9866,0.9847,1.5659175221363168e-09
282.0,1.0,0.986,0.9837,3.757717519835118e-09
283.0,1.0,0.9864,0.9837,1.5789032115334843e-09
284.0,1.0,0.9864,0.9838,1.1349121916150592e-09
285.0,1.0,0.9862,0.9843,8.44686934093432e-10
286.0,1.0,0.9868,0.9843,5.0093418637959335e-09
287.0,1.0,0.9862,0.983,9.807379413623178e-09
288.0,1.0,0.9862,0.9836,5.6153576802783183e-08
289.0,1.0,0.9856,0.9841,5.327881053007744e-09
290.0,1.0,0.9864,0.9835,5.709067112210874e-09
291.0,1.0,0.9854,0.9841,4.452900836303236e-09
292.0,1.0,0.9862,0.9854,3.990917044125619e-09
293.0,1.0,0.9866,0.9846,1.5767319926440501e-09
294.0,1.0,0.9862,0.9854,1.8561263437097343e-09
295.0,1.0,0.9864,0.9842,5.263053332942251e-10
296.0,1.0,0.9862,0.9845,2.700803035995764e-09
297.0,1.0,0.9858,0.9845,3.3657056144693144e-09
298.0,1.0,0.9856,0.9845,1.628725073415034e-09
299.0,1.0,0.9858,0.9845,2.1658441143904976e-09
300.0,1.0,0.9854,0.9844,7.19067106246071e-10
301.0,1.0,0.9858,0.9843,5.39300226311171e-10
302.0,1.0,0.9854,0.9843,5.93446756335697e-10
303.0,1.0,0.9856,0.9843,1.4164702400673772e-09
304.0,1.0,0.9858,0.9846,3.42206513901016e-10
305.0,1.0,0.9858,0.9844,5.284708234328521e-10
306.0,1.0,0.9856,0.984,3.725288474339665e-10
307.0,1.0,0.9852,0.9849,8.446861277616864e-10
308.0,1.0,0.9856,0.9843,8.988203365052659e-10
309.0,1.0,0.9862,0.9843,4.02850592548714e-10
310.0,1.0,0.986,0.9836,1.3731499795103267e-09
311.0,1.0,0.9854,0.9839,1.6027274732183883e-09
312.0,1.0,0.986,0.9847,1.797640493696604e-09
313.0,1.0,0.9856,0.9837,9.796910696128228e-10
314.0,1.0,0.9864,0.9842,4.6132897695748247e-10
315.0,1.0,0.9864,0.984,7.602130852472878e-10
316.0,1.0,0.986,0.9841,4.2450882473315433e-10
317.0,1.0,0.9858,0.9836,1.581033397999981e-09
318.0,1.0,0.9864,0.9836,2.0142552703292174e-10
319.0,1.0,0.9862,0.9838,1.7760100225097987e-10
320.0,1.0,0.9864,0.9835,1.0309452464844997e-09
321.0,1.0,0.9856,0.9836,3.8119206073315285e-10
322.0,1.0,0.9862,0.9835,2.252500287067332e-10
323.0,1.0,0.9862,0.9842,4.721583817722368e-10
